favicon_source,favicon_status,favicon_url,foundry_id,foundry_name,foundry_url,release_count
,missing_foundry_url,,compania-tipografica-de-chile,Compañía Tipográfica de Chile,,1
icon,ok,https://ddott.net/wp-content/themes/ddott/favicon/android-icon-36x36.png,ddott,DDOTT,https://ddott.net/,1
icon,ok,https://dreamtype.xyz/favicon.ico,dreamtype,Dreamtype,https://dreamtype.xyz,1
fallback:/favicon.ico,ok,https://ektype.in/favicon.ico,ek-type,Ek Type,https://ektype.in/,1
fallback:/favicon.ico,ok,https://fsd.it/favicon.ico,fabrizio-schiavi-design,Fabrizio Schiavi Design,https://fsd.it,1
,not_found,,familjen-type,Familjen Type,https://familjentype.se/,1
icon,ok,https://www.fontador.de/wp/wp-content/uploads/2024/07/cropped-favicon-32x32.png,fontador,Fontador,https://fontador.de/,1
icon,ok,https://www.fontfabric.com/wp-content/uploads/2024/08/favicon-1-1.png,fontfabric,Fontfabric,https://fontfabric.com,1
icon,ok,http://www.fontsfromfolch.com/wp-content/uploads/2023/05/cropped-fav-32x32.png,fonts-from-folch,Fonts from Folch,http://www.fontsfromfolch.com/,1
icon,ok,https://formagari.com/favicon.svg?v=3,formagari,Formagari,https://formagari.com/,1
icon,ok,https://formulatype.com/icon.png?0fc7bd1b2376287c,formula-type,Formula Type,https://formulatype.com,1
icon,ok,https://foundryfivetype.com/favicon-32x32.png?v=65e7323eac8c20f8d80795dba77a00d0,foundry5,Foundry5,https://foundryfivetype.com/,1
icon,ok,https://www.grillitype.com/icons/android-icon-192x192.png,grilli-type,Grilli Type,https://www.grillitype.com/,1
icon,ok,https://framerusercontent.com/images/FSxFcZYQAIrR6g1cTFaxZQaC5KE.png,groteskly-yours-studio,Groteskly Yours Studio,https://groteskly.xyz/,1
icon,ok,https://gruppo-due.com/favicon/favicon-32x32.png,gruppo-due,Gruppo Due,https://gruppo-due.com/,1
icon,ok,https://hoodzpahdesign.com/wp-content/uploads/2020/06/cropped-Hoodzpah-logos-icon-favicon-more-negative-2-32x32.jpg,hoodzpah,Hoodzpah,https://hoodzpahdesign.com/,1
icon,ok,https://www.indiantypefoundry.com/themes/indiantypefoundry/favicons/favicon-32x32.png?v=nggKMv9knA,indian-type-foundry,Indian Type Foundry,https://www.indiantypefoundry.com/,1
