designer_id,foundry_id,role,source
monica-shane,commercial-type,Director of licensing,designers.affiliations
vasily-brodovikov,shriftovik-type-foundry,designer,designers.affiliations
alan-madic,edito,designer,designers.affiliations
alan-madic,x-cicero,designer,designers.affiliations
alex-chavot,apex-type-foundry,designer,designers.affiliations
alexandra-korolkova,rosetta,designer,designers.affiliations
eduardo-dulin,sudtipos,designer,designers.affiliations
fabio-pop,m59,designer,designers.affiliations
fabiola-mejia,supercontinente,designer,designers.affiliations
fabiola-mejia,dinamo,designer,designers.affiliations
florian-schick,schick-toikka,designer,designers.affiliations
francis-chouquet,francis-chouquet,designer,designers.affiliations
helena-zhang,self-released,designer,designers.affiliations
leo-rosina,babelfont,designer,designers.affiliations
lorenzo-poderini,grilli-type,designer,designers.affiliations
panos-haratzopoulos,commercial-type,Type Designer,designers.affiliations
denis-sitdikov,shriftovik-type-foundry,designer,designers.affiliations
anna-dokalina,shriftovik-type-foundry,designer,designers.affiliations
aldo-arillo,nodo-type-foundry,designer,designers.affiliations
alexander-roth,neue-foundry,designer,designers.affiliations
alexander-roth,gallery-type,designer,designers.affiliations
alexander-roth,neue,designer,designers.affiliations
alexandre-bassi,b-v-h-type,designer,designers.affiliations
alexandre-bassi,205tf,designer,designers.affiliations
herb-lubalin,itc,Co-founder,designers.affiliations
ekaterina-vakhrusheva,shriftovik-type-foundry,designer,designers.affiliations
alexander-rutten,ligature-type,designer,designers.affiliations
alexander-rutten,blaze-type,designer,designers.affiliations
alexander-rutten,typemates,designer,designers.affiliations
alexander-rutten,floodfonts-type-foundry,designer,designers.affiliations
amondo-szegi,p22-type-foundry,designer,designers.affiliations
diana-ovezea,acute-studio,designer,designers.affiliations
diana-ovezea,indian-type-foundry,designer,designers.affiliations
diana-ovezea,blast-foundry,designer,designers.affiliations
diana-ovezea,bold-monday,designer,designers.affiliations
diana-ovezea,cotype,designer,designers.affiliations
anna-dudina,shriftovik-type-foundry,designer,designers.affiliations
alexander-smirnov,typetype-foundry,designer,designers.affiliations
alexander-tanazefti,the-letters,designer,designers.affiliations
axel-keussel-andre,blaze-type,designer,designers.affiliations
diego-feijoo,sudtipos,designer,designers.affiliations
emily-klaebe,order-type-foundry,designer,designers.affiliations
fred-smeijers,type-by,designer,designers.affiliations
fred-wiltshire,fredsfonts,designer,designers.affiliations
fred-wiltshire,blaze-type,designer,designers.affiliations
fred-wiltshire,east-of-rome,designer,designers.affiliations
diana-nadyrova,shriftovik-type-foundry,designer,designers.affiliations
andres-torresi,dalton-maag,designer,designers.affiliations
andres-torresi,huerta-tipografica,designer,designers.affiliations
edvinas-zukauskas,poem,designer,designers.affiliations
frederic-warde,lanston-type-company,designer,designers.affiliations
frederik-berlaen,font-club-belgica,designer,designers.affiliations
frederik-berlaen,universal-thirst,designer,designers.affiliations
imre-reiner,lanston-type-company,designer,designers.affiliations
jo-de-baerdemaeker,studio-type,designer,designers.affiliations
